Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
13-20,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, ","recommendations, Playlists",5,Once a week,Comedy,Story telling,None,Both,Satisfied
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5,Never,None,None,None,None,Ok
13-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok
35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3,Once a week,Comedy,None,Well known individuals,Shorter,Ok
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",3,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied
13-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Night,Relaxation and stress relief,leisure time,Others,4,Once a week,Comedy,Story telling,Both,Shorter,Ok
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,Others,4,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
13-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5,Never,None,None,None,None,Ok
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Playlists,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Comedy,Story telling,None,None,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Morning,Relaxation and stress relief,"While Traveling, Workout session","recommendations, Playlists",4,Daily,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Male,More than 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Night,Uplifting and motivational,leisure time,Others,3,Never,None,None,None,None,Ok
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Sports,Story telling,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied
13-20,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rap,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,R&B,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Never,Food and cooking,Story telling,Both,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Both,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Afternoon,Uplifting and motivational,While Traveling,Playlists,3,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time",Others,2,Rarely,Comedy,Conversational,Both,Both,Ok
13-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,Melody,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Daily,Health and Fitness,Interview,Well known individuals,Longer,Ok
20-35,Male,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,R&B,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4,Once a week,Food and cooking,Story telling,Both,Longer,Satisfied
20-35,Female,More than 2 years,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,Sadness or melancholy,Study Hours,recommendations,2,Daily,Lifestyle and Health,Conversational,unknown Podcasters,Both,Very Satisfied
35-60,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,Social gatherings or parties,Workout session,Radio,5,Once a week,Comedy,Educational,None,Shorter,Ok
13-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,Both,Longer,Very Satisfied
13-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Longer,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,4,Never,None,None,None,None,Ok
13-20,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Relaxation and stress relief,Study Hours,Radio,3,Once a week,Food and cooking,Story telling,Well known individuals,Shorter,Ok
35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Daily,Comedy,Conversational,Well known individuals,Shorter,Satisfied
13-20,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,R&B,Morning,Uplifting and motivational,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Several times a week,Comedy,None,Both,Shorter,Ok
20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,R&B,Morning,Sadness or melancholy,While Traveling,Playlists,3,Several times a week,Sports,Interview,Both,Both,Very Satisfied
13-20,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,R&B,Afternoon,Uplifting and motivational,Study Hours,Others,3,Once a week,Sports,Conversational,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Night,Relaxation and stress relief,Office hours,Playlists,5,Several times a week,Comedy,Educational,Well known individuals,Both,Very Satisfied
35-60,Male,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,classical,Morning,Uplifting and motivational,While Traveling,recommendations,4,Once a week,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,Relaxation and stress relief,Office hours,Playlists,3,Never,Lifestyle and Health,None,Both,Longer,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,None,None,None,None,Ok
13-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Both,Shorter,Very Satisfied
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Food and cooking,Story telling,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,Playlists,3,Rarely,Everything,Story telling,Well known individuals,Both,Ok
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,Sports,None,Both,Shorter,Ok
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,R&B,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,R&B,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,R&B,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,None,Story telling,None,None,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,R&B,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,None,Story telling,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Afternoon,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3,Rarely,None,Interview,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Night,Sadness or melancholy,leisure time,Playlists,4,Never,None,Educational,Both,Shorter,Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time",Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,R&B,Night,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
