id,name,artist_popularity,followers,genre,total_streams,total_saves,total_shares,listener_growth_rate
0HTFP9cTQxcOAHuVOXh06y,Zen Reflection,5,577,zen,544622,80709,8308,0.05
6fTUOi1EcpgGqKl4Q4UE2N,Toshiro Mayuzumi,5,1156,japanese classical,518099,81809,5859,0.04
6QZyblRz5byKROc6kBjUdV,Heart-Shaped Tracks,5,1356,brazilian soul,542282,54150,7339,0.06
4Boq3PQCNvXqTVu9yGHaDY,Harper's Dixieland Marching Band,5,235,dixieland,572581,61947,5417,0.06
0F155RyWAEaj0UoTZX6lk2,Yung Caters,5,251,indonesian emo rap,706792,79028,7369,0.06
27kz8ieduFE45c5rdyHcxj,Colin Grant,5,540,canadian celtic,976184,57193,6560,0.03
2c9sol8NSNRs68cB999yWc,Nukumachi,5,985,future funk,881300,91756,7304,0.05
3foOUc5xHUnus4MJiAKlBb,Holy Molar,5,4873,noise rock,663066,90376,6152,0.03
75AqhRq4n2mgow58AcHe5m,DAYNE OTB,5,562,oc rap,589158,57418,7643,0.05
4bvhXclJ3OBBhlTxHjrh4k,Nirvana Seekerz,5,715,deep german hip hop,663059,64626,6271,0.06
2Acjtki9xGNwsweZVFx6Ed,Turned Around,5,557,future bounce,679094,76468,9484,0.05
01j1tgusZmVecaU1DEiCm3,Elkhorn,5,2010,american primitive,759993,76917,9193,0.04
30ObKAnApeMHxPjHh4JcVp,Mike Walker,6,606,progressive jazz fusion,853771,83999,6586,0.04
3zyLtDE21BNWJagUl4HWzu,Pinkish Blu,6,1951,adelaide indie,988725,95197,11141,0.06
3fItWgQLOB2iMi4tTiWSAM,Day Spa Academy,6,247,spa,930990,77639,6841,0.06
1DmVFcr4tL6md0PI5kQXeQ,The Amalgamates,6,873,college a cappella,1029912,86059,7304,0.06
1Q0YmlkGHjPScVSTf2k73c,Unit,6,736,bolivian rock,1114331,84644,10811,0.04
34u51KUR8vtXeHTAy1HbFe,Ajeezay,6,112,afro drill,1005408,80729,9977,0.06
6tLJIJTUJ6Lw39JYAJF8rh,Red Hot 'n' Blue,6,1638,neo-rockabilly,697999,91874,11839,0.06
73RmVTPm4JCwKXXZz2V7yW,G-laspada,7,281,r&b italiano,1287348,112387,9501,0.1
0CqyREwcnKy21Xw0GMJvrv,Martyrs of Apathy,7,3105,furry,918965,86423,9501,0.07
7fHq8IdkLznqRvSblfspaY,The Californicators,7,2354,tribute,1307403,84915,10751,0.07
0dH7U9VsdBan1K2G183OeH,TANGTHEAWESOME,7,958,k-rap,1155859,71277,7707,0.07
6jVNUhgWoitJUJLW4z3uXn,Boozoo Chavis and the Magic Sounds,7,661,swamp pop,893493,78041,8510,0.04
70zIBj1LPAcTOiXhsborws,Salem's Corydalis,7,355,bedroom skramz,727163,123405,12982,0.05
3MdfTLP37BeIe7SYAUBU4n,Oppenheimer,7,984,northern irish indie,1363778,78562,8155,0.07
6Sj7Arx0sQvCZVE2m7bcmQ,Origami Girl,7,1188,hardvapour,1356124,90758,10862,0.07
70xVEpgMP5GXlfPHRRP7yI,Victoria Vox,8,1358,oc indie,1089259,153610,13523,0.06
781q5ZxaDpe00poI3GHe4l,Saudin,8,6872,trap soul,1031028,154551,9255,0.07
3nBrzaslVeGq206xtZc9T7,Dudley Simpson,8,718,hauntology,1111961,101401,10624,0.07
3LBXtcf7iF5hyveaDJolc6,The Hedgerow Folk,8,1104,christian indie,1366081,99403,14364,0.12
3gdrmfWscdd6Wryv01umtl,Wild Side,9,3108,canadian hardcore,1368296,92786,16594,0.13
0PxGLHB81l8ssB5c925INV,Buddha Zen Trance Chillout Trip,9,932,zen,1303837,176437,12133,0.11
2JxhAwKLNNIh6meIakGq0c,I$$A,9,804,portland hip hop,1598243,142737,17347,0.13
3lbwPBln41G2m3d93rxA3T,Chubby Carrier,9,2270,swamp pop,1765820,155535,13768,0.1
56CJNGsRT9pO48GtRlxla2,Sandy Dish,9,746,melbourne punk,1420204,103440,11106,0.07
5AXPdt3zknCylvlnEi0JFO,Emptiness,9,5449,belgian black metal,1215165,172064,15011,0.11
246DV2fjrMTWTOSqr5kmoI,Andria Piperni,9,11419,canadian contemporary r&b,1254743,100861,17303,0.08
5cuchPK6eJYdjYLNiiRk29,Symphony in Peril,9,5290,christian hardcore,1198643,155445,11194,0.12
74jySy1xqz54nK2yy9zZu6,Johanna Beekman,9,3230,kirtan,1710399,172689,14464,0.1
3KtTL5aW0McOxqcBS5afO5,Imre Fia Imre,9,360,hungarian rock,1053243,135421,13903,0.13
4CO7qgV1BusQBS6uyi06Ff,John Eddie,10,1985,heartland rock,1989509,106992,14279,0.07
2EBCJ8wwWpJXAyjVoiwCw8,Versing,10,3199,seattle indie,1442939,113120,13830,0.09
5MSaBAloTJh6Dcrr7hLsbU,The Wee-Beasties,10,728,denton tx indie,1298679,199886,17379,0.11
1u3p7gbSruazLLj9ibDQ6X,The Wholls,10,4106,modern alternative rock,1057385,134524,15779,0.07
5qGFrApDaIkbuaZiikcipl,Stressor,10,2504,deep psychobilly,1184962,175536,10080,0.1
5S3gRXHi1WrUadDR9IUwTN,The Red Krayola,10,7244,experimental rock,1797627,148165,19163,0.12
1dSmNTC4h28UW5uiEIEVQl,Whoopee John,10,488,polka,1241432,153347,11777,0.07
6329ULqnLbRWcDIPaVPEmM,The Whole Thing,11,569,acid jazz,1905815,188215,15072,0.15
49df9GxS8cxjmN8fBZatuE,Blue Fringe,11,3665,judaica,1570614,208226,15197,0.09
18p7UHafQD6tWVcAOfoW5F,Keff McCulloch,11,258,british soundtrack,2126591,148640,14876,0.1
6wok7L7GfBNS0nOltwmopD,The Great Honourable Lord Pretender,11,648,calypso,1154446,127135,16793,0.06
0Wtw3fqrmqjQ5akqbrS6P5,Dear Whoever,11,7184,screamocore,1623675,216292,13955,0.16
4St65YtRYE8w73lrc1GNKM,Red Hot Chili Peppers Tribute Band,12,1284,tribute,1926197,202773,15806,0.14
5lKonzRKCeaS0eU5vdziO1,The Whole Darn Family,12,1726,rare groove,1734574,175215,12374,0.12
50FVnNkMq8PzJFSSmEAx8K,K Kutta,12,1195,miami hip hop,1965095,137463,20587,0.14
6n0xdBqSuPm9UcdOAnQgwg,Stylee,12,120,urbano chileno,1760870,181419,17502,0.11
3ARyhbeNWaIZTGRTDZ8IG1,Sybarite5,12,1243,cello,1249030,173462,13899,0.17
6T9NZn7NuoOPoyNJaBXav7,Levi Roots,13,979,uk reggae,1874799,157812,14445,0.1
5c4ikaZ8nPKn10NLZZCF0I,Rounak Maiti,13,5107,indian indie,1539848,196158,16734,0.18
0wNomLWF4Yg4XN2hHlP3Cz,The Whoops,13,5652,japanese alternative rock,1512488,218956,23318,0.12
3m7kkYCoZ7yaJB00zs0Jok,Lo-Fi-Fnk,13,9585,electrofox,2139945,130420,17421,0.18
4EiPFgA46SMqLtTSH2xopt,Red Hot Max,13,1839,swedish rockabilly,1378242,163690,22461,0.13
2bTEeKchSSupVDeN8VHe16,The Whoridas,14,4166,g funk,1682452,258794,14520,0.16
6U7okwARNlqMsPEvrtcNO6,Among The Thirsty,14,4771,german ccm,1557949,177443,17581,0.11
61NG8y3bPFr4CoTldEk6WU,Paolo Angeli,14,3860,deep free jazz,2423029,172379,19931,0.15
5V6tFhR6bo0AfvklxzQcqI,And Then There Were None,14,4402,christian dance,2654107,222457,17139,0.13
4vQgTCKK2OymTe2D8akBlg,Tristram Cary,14,1023,acousmatic,2028219,184275,15261,0.09
2To4jNx23pDgZJbZx9ynyJ,Johnny Maddox,14,956,honky-tonk piano,1490924,254447,22809,0.1
0i9t3ZUyYFXd1nZLJ1sRqb,Queen Chimera,14,10203,riot grrrl,2138712,164167,21630,0.08
5UhKMxkXUPTSFKUrVbAMdj,Peter Howell,15,1178,british soundtrack,2325809,191103,21048,0.15
4pD0TDma5JQSsb8aVN4Orb,The Redneck Manifesto,15,11617,instrumental math rock,1782124,201370,19181,0.17
3mraF5zs8F6dlE2FOeaawS,Pilates Studio,15,2245,pilates,2162558,241648,17674,0.11
0gdggS1jCNKXzFbUcOsotf,Nikki Sudden,15,5791,solo wave,2204933,162896,24555,0.13
40QdGpUkS23xQBhsAkmrTf,Keswick,16,1586,uk worship,2818997,245492,28099,0.15
474vK8QpU3WL9RxRCmo5cX,Kjetil Mulelid Trio,16,1268,norwegian jazz,3079659,279644,28918,0.1
3R0EMFbUS5NaombX9GQOn7,Merely,16,2499,metropopolis,2710421,174330,18645,0.17
4ONXEk7kAwoXUJUatvIpLU,The Pilgrim Jubilees,16,8676,contemporary gospel,2573904,166373,24190,0.1
6ajHSKuOp3WolBjTkvi8Ww,Jimmy Sturr,16,1441,polka,1707940,293373,28669,0.14
07mlkNoHj4X0n11DmGBptw,"Billy ""The Kid"" Emerson",16,1995,rhythm and blues,2525734,229278,20930,0.14
6Si6obxYS5yBJrdpZieVf3,Jerry Joseph,16,4638,western americana,1671584,214784,28371,0.15
5GmEuYwdFxc1bdl8Id3m7e,Lalu,16,2526,deep progressive rock,2026705,233658,16264,0.18
6Uhcb4YBtQmZJKL3jBpPX4,Deke Dickerson,17,7300,neo-rockabilly,2776679,190334,33295,0.15
5sAdGAVelzrPddqEqfNRDm,Razorrape,17,8024,goregrind,2992821,253198,18508,0.23
5tJ7jELYPd8ZRIp6dbHS7I,Karmakanic,17,11898,neo-progressive,2824278,185309,24889,0.23
6BsL2HkIj6DBL1tYuswybL,Enine,17,2835,indian edm,3125653,315566,19483,0.16
42YCCI0lmBcMB7s5gmXVDF,Orlando Consort,17,4327,choral,1927958,230214,20194,0.14
1POLVKYLA6vcDLln7YkGLz,NOLIVESMATTER,17,2160,necrotrap,2680538,222067,28887,0.23
0jZNuKQjHZqSJolXzi8kDV,Paint The Sky Red,17,7930,instrumental post-rock,2313733,246038,33411,0.19
6JVLqhpcrlRroql6UduuqC,Db Mandala,17,3343,indonesian emo rap,2427365,240862,30043,0.15
6YVY310fjfUzKi8hiqR7iK,Gangway,18,3681,danish pop rock,3173053,200139,31950,0.24
7pngx7BrbiM6QFuaHyw0RY,Juicy Lucy,18,13671,british blues,2685511,187540,34981,0.25
71jiZJ6LUwYWXihX80dZD0,The Jazz June,18,9472,emo,2667093,307891,31369,0.21
6Pe8wvqAWxK6nFhwHjb0GD,Halgrath,18,2462,dark ambient,2561034,298990,34874,0.13
4r1FGzKdQcTiDDPesf9x7Z,Ascent Project,18,5600,anthem worship,3392832,183744,27537,0.14
1OGsX8U5glpXRgvkBNHFyQ,ch2rms,18,4036,glitchcore,3257079,210644,27707,0.24
0p6NrdHl8dQQALGIqVcrjt,Sophia Eris,18,4328,minneapolis indie,1902588,180846,32940,0.1
0pPxbMpxTtkh15mvvjewGV,P.K.14,18,17035,chinese indie rock,3401794,310090,19543,0.2
091qawliSXQJY61TErt76J,Lyktum,18,4431,full on,1916086,341741,25545,0.16
6IWWVFu6hqi1IJ5qwGXJBc,Mystifier,18,25612,black death,3345504,240783,32105,0.1
62gHwaZEtHenaB124IuOW8,The Whigs,18,9810,athens indie,2159816,319905,26471,0.23
3CcqTY5fsD6Bli5ecGhDKz,William S. Burroughs,18,17785,beat poetry,2409093,232535,31495,0.15
3uicVMR3k5xPb0cD4JsMv1,GS,18,4449,christian hip hop,3410924,246256,22328,0.25
3j8SFKYjKXAPnqPHwlnp3R,Cheryl Frances-Hoad,18,523,21st century classical,3534903,224466,19347,0.23
271JnVctej1qIXvWIL8jRB,Morning Glory,18,14621,crack rock steady,2364271,225988,34023,0.1
5hmUF4owAsrwthZ4K5k5dy,Monica Rocha,19,3950,souldies,2706615,300338,34987,0.14
4kBVrYasuaH3Ofw7ag9zJS,GODLESS,19,5073,drift phonk,3077725,361049,26914,0.13
0MOZUpmwkWLuzLm3pM3ETD,The York Family,19,1561,family gospel,2544740,348377,31346,0.24
0FUbZjWFfOVHZBvpgqqfTL,Chris Barber's Jazz & Blues Band,19,2733,dixieland,2494803,371734,33069,0.16
3Td06I1OWFLWLob20A7cWu,The Whomping Willows,19,17001,wrock,3498324,259586,21987,0.22
3OxjjcGD94EPwRZ4ukKeuD,Nikotina,19,3511,euskal reggae,2666090,296894,37704,0.18
2X4fqHcy2QZM9MkITcNYYx,Nate Fredrick,19,2799,midwest americana,2321623,282621,28094,0.21
1wRjJI80Z1xUT2aFdn7aru,GEAVN,20,1311,cloud rap francais,3311819,347661,29921,0.25
2qNGvvsycqPDFxAVGUNbMw,Shebang,20,3873,swedish eurodance,3380827,306982,32749,0.14
6CA6qrIOVvXVty66LdEem8,Ray Manzarek,20,10698,rock keyboard,2551851,250101,23997,0.15
6OGNyv8Z63eYqmkN17mpwW,Profanatica,20,23799,black death,2198875,392395,33200,0.12
6U9PwS3WsiKBVewf7wtwIZ,Joan Of Arc,20,20605,chicago indie,2594383,271221,37082,0.16
5HGiYfzLihy6ko4T5231Pw,Nirvana Handpan,20,813,handpan,2895327,300404,28811,0.14
0RqTa9g1FGwU3VIhW2SNI9,All Bossa Too,20,948,bossa nova cover,3630401,269638,35701,0.22
6TBVRWjGKSLCZwhqSQ03pK,Faye Fang Kaew,20,19309,thai teen pop,2151058,332649,27927,0.17
0eIYH8dqSwOAsaXuPdpcL3,Paz Nirvana,20,2194,musica de fondo,3795302,384854,20143,0.23
2wPJk7rbYOFBnU3lBZS5gX,Chained to the Bottom of the Ocean,21,9493,black sludge,2692465,399515,21845,0.2
2xvMW90GTdcJXTzUmBZG6J,Grizz,21,4536,cali rap,3455195,285519,28230,0.14
38oeklBEe3D45OoHA6L4iY,Cinematic Meditation,21,361,meditation,3235460,253667,36980,0.24
3IDc9dwsYxnhg0RjCMNl2B,Tantric Music Masters,21,1670,erotic product,2257425,306990,39194,0.26
2PE4urJkkOhh5u7ze2vrap,James Day,21,4171,smooth soul,4087007,234689,34830,0.19
5gcxdZ3ZghD2XNc8ptMLZq,Hysteric Panic,21,13724,animegrind,3061486,359174,31585,0.12
7lqVTxfOywIDg6yGHUiwTJ,Mary Coughlan,22,9736,irish singer-songwriter,3476253,377867,40408,0.13
1GNzgaXdYGtEP5xOqCsdSq,Cult Of Fire,22,22318,atmospheric black metal,3129179,344620,30670,0.14
1vLFIIIwNjiO8VSNnh8nLh,Noordpool Orchestra,22,12552,modern big band,4337047,324204,30922,0.16
5FobI8tX7XLuLImE2C3FJV,Jaro Cristo,22,3414,rap espanol,3837583,239477,29160,0.21
4r8uFLgGpVboorHRyfCi4f,Home T,22,1517,deep ragga,3188904,252139,41564,0.21
0RIlGvo0OBtWiLsytJVkW9,Antoinex,22,4071,native american hip hop,2297008,246047,34575,0.27
6R1b13BgmP15f21dQZpFz9,Pynch,22,5938,crank wave,2342054,222353,40167,0.32
77xJf67Cuu7UPJgJoClESG,The Pink Stones,22,3753,alternative country,4337061,256861,31620,0.2
1q7m1DacLfRgt38Wdin4yH,Zebra,22,53735,glam metal,4125463,265528,36119,0.15
7KndNWOymXIAJZDOBdgiT1,DJ XBOX360,22,10229,drift phonk,2985082,248292,36246,0.15
5NRdz3sJhdfzGhHE9zK5Lz,Fay Claassen,22,4179,dutch jazz,3361748,263386,28514,0.31
3w6oKUR5lVtFtg6eMjgqao,Killswitch,22,3557,san diego rap,2970436,383303,34923,0.24
31X6W8Y4y9E0G78r5Y2rXG,Crystal Shawanda,22,9768,canadian country,2729506,439918,33323,0.14
2gbULTKiTcbVhrVXKJ1tCV,Woozy Youngster,23,89,study beats,4579011,450191,35768,0.27
7pq7EnlN1IHSyffRTklSqP,Young Jesus,23,13520,indie psych-pop,3063721,446543,42786,0.3
3d5usliWmjkMKGsv2X341Q,Beach Slang,23,36881,indie punk,2471059,453970,24125,0.21
5XqyqoLZXA69lCNyBT3f89,Irreversible Entanglements,23,14794,experimental jazz,3844055,418007,27770,0.29
55tLEUlrzGNtACuMVJZHNf,Peter Ivers,23,8283,psychedelic folk rock,4212358,240025,24486,0.2
5CDHEnQ7vIRfL4I18XnLQb,Waldo's Gift,23,8636,uk contemporary jazz,4115389,308555,28703,0.33
0kKqcNnMxdktsw8ez8LWCG,Melicia,23,19181,full on,2819529,366508,29811,0.23
2UU01zkZXNVpNux7wIBM8N,The Johnson Mountain Boys,23,9740,banjo,3473559,350730,39499,0.14
5eAD22qkgKXFfoP2Z58lU6,PHI NIX,23,2168,samurai trap,3070695,369436,31848,0.2
1yboBrfDMPU8uu5FtjXKuv,Ranjani-Gayatri,23,67081,carnatic,3950315,321852,41987,0.3
1N0uTSN7HQpzJYmQIvsusL,Serph,23,19290,glitch pop,2862451,260852,25028,0.17
67ksWWGLUlYBPdQjZyDFFt,Gaêlica,23,6953,caracas indie,2381517,235508,40379,0.12
58xGXqTPjJWfwBCQxjPC6W,Mou,23,3937,electro-pop francais,2803666,292609,26064,0.33
5OBJZtgvHxSJZYyQ8T9AoS,Faraquet,23,21885,instrumental math rock,4025185,450259,27445,0.13
3e07AHzXnSbfuIBc6IHNio,Dzulfahmi,24,3348,indonesian emo rap,4778681,460470,39408,0.31
6A0OhEyMfSsEmD5qH6jwdo,Tommy Johnagin,24,12832,comedy,3882153,325161,26711,0.12
748mYOdaWuFH4wXCvsvInR,Dizzy Reece,24,4538,british jazz,3732901,383041,35276,0.34
6ShqyafouDcEeQVmdVuTzR,Chaitanya Hari Deuter,24,2954,berlin school,4303272,391968,46801,0.12
5yp0kBtdnmEAqQE02L7Wox,Nipun Aggarwal,24,3478,mantra,3459524,300385,34099,0.35
7LwqgxFhTy3V2wwa2h37B7,The Greenes,24,6800,family gospel,4774861,358154,36667,0.19
1k5pK28cJaiso3iuU1f2nt,Divide,24,8770,indonesian post-hardcore,2732368,367682,33357,0.32
1qZnWtvzKVV0lJQZBapchU,Jay McShann,24,6921,jump blues,3690226,262113,28268,0.35
76RtDwuzicmWLEEE5ZtqIj,Portland Cello Project,24,11819,bow pop,2745357,344148,45713,0.25
2X2KBI2OrNMci6TDQAXCA6,Sold Soul,25,14993,blackened deathcore,2573357,391071,38355,0.14
6yv0Vd63iiAaW4665Cs9vT,Higher Power,25,23871,modern melodic hardcore,3642918,318158,44110,0.26
1YPYaJyUobMi0eABhZo92N,Half Japanese,25,23296,experimental indie rock,2611526,417276,34112,0.34
2D33pq4ECo3gsLbRt3eeo6,Animal Alpha,25,15257,norwegian rock,4600717,480097,26390,0.37
0SOCskFcUcLj7Ful8w8KrL,David Bromberg,25,31829,country rock,4984435,266124,49782,0.3
6uuENNYnv6R8dVpogSmDWb,La Sombra De Tony Guerrero,25,10888,tejano,3250673,353176,38894,0.22
4oEpUae4MWlyjaGx5751ho,Shyn,25,13112,malagasy folk,3940016,378518,27555,0.26
5lTLTAqKUfxarbtS8Tq6zJ,Katteni Shiyagare,25,3778,japanese rockabilly,4830905,365692,31446,0.36
1ZllxyGx0kJ3GZd2YbVUXM,Charlie LeBlanc,25,10108,classic praise,3088567,370258,47329,0.35
7xVgcD64SOhLoXfCxN7yg8,Delia Derbyshire,25,19177,british electroacoustic,4983081,405046,48464,0.22
0aH9ilLL1xDna0ze4NacHD,Astro Burger,25,505,schweizer rap,4331094,329593,30548,0.16
4z9qdU7fZTF4fY5PTviqtL,Damar Jackson,26,14416,pop r&b,4741877,270519,29843,0.35
4i0SjpbBjUgLY2QLzYliOP,Web,26,2140,italo dance,4938726,267794,43878,0.3
02Gz7Nb7bIi0oxLIXYELYd,The Foxies,26,19119,charlotte nc indie,4867479,311034,30804,0.37
2cw7QQfN0zs6QUUGvhYp56,Galkin Evangelistic Team,26,12291,baptist gospel,3760415,476111,34025,0.37
4U3wb0z7BUtP0n2ZWdEOrT,Gunhild Carling,26,17987,swedish jazz,4320139,385427,26695,0.15
6Dy7Ex5zlTLgXbsB92rPji,iSHi,26,7635,swedish pop,4280708,373538,36390,0.32
0oN8IZB1C3lY1ABKwJOu1I,Kiha & The Faces,26,27235,k-indie,4861429,430941,47427,0.29
0zvND4IqnGShzA7X47MIkp,The Burkharts,26,8044,buffalo ny indie,3098102,440196,42189,0.37
44WAE5KobmXszZus98ssZn,Harper Zen,26,1648,sleep,3321083,399122,49480,0.28
0bDw4crr1aysTpUTjI3Wqx,Club 8,26,18304,swedish indie pop,3731009,281674,26177,0.39
2xFvycgO8RcKhdZPo5hMmp,Alchemist Project,26,9717,klubowe,2935748,348447,50670,0.27
39Yw8FPJXDJyf5L4vK7TD3,Snuff,26,26146,melodic hardcore,3324423,422265,29951,0.3
13HCSe8J92zo90TYuzjeHB,CKK,26,4919,german cloud rap,3693987,422993,31872,0.33
5HmLR4HqjD26gswK3dkxI5,Swishahouse Presents,26,17306,chopped and screwed,3061887,338926,32252,0.3
4vIlHBnzWKbmWe8ZOkT1ZT,Lil Yase,26,30258,cali rap,4146090,273357,33644,0.16
5vDWsMvaFghBZj9e6y8qSk,Roy Orion,26,1711,deep big room,3530563,495492,49758,0.27
7Hbhksw9E9NGS44qobhTSX,Nutty Nys,26,29728,south african deep house,2972123,316634,37826,0.26
5tGDXwaO3qq4w9mAhZHwZY,Seamus Blake,26,11159,canadian modern jazz,5166690,515498,28185,0.29
0vDdlaPkN2w0ibESVsrI3F,The Network,27,26904,bay area indie,3400459,288300,44900,0.24
7HY8lCkyEUSL5jfENlkshV,Glenn Jones,27,11816,american primitive,5275626,384924,45298,0.17
25JN9vPFGeYAhoaYyVGuwC,Tony Lucca,27,12849,acoustic pop,3425382,484270,36308,0.21
1LLPuhfbAFbEac4iGsv4s8,Nirwana Band,27,34757,indonesian pop rock,3002382,455181,50608,0.36
1hO7u836ntSuPofTfvjzr6,Petra Haden,27,4368,alternative pop,5220405,328614,40403,0.39
7CX0oLMMm1Z3ShRo0LAiWb,Джиос,27,15038,russian dance,3339186,522780,42679,0.16
4AAXAVOZ3fw7M8ILLrKLvs,We Are The Union,27,23109,easycore,5221561,494236,34010,0.35
0Ut5FcDeEgaM9PM3LvnH6j,Dillon Nathaniel,27,19516,bass house,5194888,508604,38413,0.18
0OVmEzLDCaJvoQzKXWuY84,The Beets,27,16600,garage pop,3783261,398020,37085,0.32
5rWKAmlxinr3muqedXVIHa,Georgie Fame,27,15342,british blues,3367684,370509,35085,0.22
5xtI3rNhEt5oabFUSZWBhm,Emad Sayyah,27,7243,belly dance,3166765,436590,52227,0.27
5XThsmRraC5gvRpetD2S1q,Tim Schou,27,5387,acoustic chill,4818606,476504,48399,0.26
2zSHqHILFTgz1xT3hopJQr,Ray Boltz,27,35590,christian music,2974991,452849,31313,0.39
7MsfV9iU1jXeSocUOSL971,Father's Children,27,9936,traditional soul,4649578,486679,51490,0.14
7wi1x9DxLtqnhzJIQa7JQF,Carlo Gesualdo,27,15195,classical,2702797,449129,49439,0.19
3OmuR7XFXBig8yLeMSm9mU,Barry Mann,27,6013,brill building pop,3226591,350138,41518,0.14
2KVSnLE8OkCi50mbRsBtWU,Cvlt Ov the Svn,28,13329,finnish metal,3935306,419924,30375,0.26
3fUJRJVTuLiDGLXk0TBPuS,Caneras,28,54460,turbo folk,4054388,336134,52268,0.39
7FOzRq0zHRURH1FKGdhuuy,Bulent Cakmak,28,10445,turkish edm,5533365,450029,28845,0.38
55iypHdTn9S7ciwKfV4SXc,Nirwana Trio,28,7151,batak,5329502,406755,28294,0.28
2qnxLUnC8Du7DCNbbOYkyA,Buddhist Meditation Music Set,28,14651,meditation,4307441,324040,31612,0.21
4J33tsbR21m58WoT2ROPad,Alitasia,28,5081,classic venezuelan pop,5394699,410645,49268,0.33
6BJ87U6Uhgfu6RWcWGRkPq,Grass Kid,28,792,chill house,4832627,545335,36611,0.42
3v5Fnk4Ndo6TlWhltaFdp6,I'm DMA,28,2894,hard bass,3750589,502564,53408,0.42
5Hr53UjzhLt2qU7XL7OFh8,John Garcia,28,28794,palm desert scene,4632485,333697,37325,0.21
2tMAaxsOEo9KCueEhtf2rp,Deficit,28,6995,australian metalcore,3908358,429246,28709,0.17
75F4LwSWRqzT10Lw1xMRCP,Bebo & Cachao,28,1200,latin jazz,5535352,454842,43680,0.36
4nFeDokrGnnfMWMMZBjvan,Angerkill,28,3334,uptempo hardcore,3692123,551655,40564,0.37
1nf0nRF0W4ybnJdda00pKY,The Swon Brothers,28,41711,classic oklahoma country,4651718,403023,31611,0.38
59DcOmdlmKUgsUrb2S7Nb6,DMVU,28,21557,experimental bass,3899930,529692,42851,0.23
5vuEKqaoIXJjZWOGxfXCzN,Arms Akimbo,28,9903,hopebeat,4311047,377623,41116,0.15
2TzDFGYjzVbaSEA3msOpqI,Lando Chill,29,8789,experimental hip hop,3870770,402224,38993,0.22
6lyZLY4z9hbigu4C7VUwPe,Elma Sinanovic,29,24247,narodna muzika,3150002,311874,50532,0.32
3nm0KMLo1Z6hyJ4QYa0x9r,The Business,29,48036,oi,3315282,451066,32413,0.18
